firstName,lastName,position,team,playerId,birthdate,points,lower,upper,sdPts,positionRank,dropoff,tier,vor,overallRank,adp,aav,adpDiff,exp,ecrPosition,sdRank,ecrRank,risk
Stephen,Gostkowski,K,NE,2506922,1/28/84,153.3253735,143.6680879,162.6949938,11.18058796,2,5.536505098,1,152.3253735,29,129.665,1.61,-100.665,11,1.8,0.8,167.7,2.508208718
Matt,Bryant,K,ATL,2504797,5/29/75,152.8733083,145.4772717,161.7991351,9.029482013,3,11.9747456,1,151.8733083,30,141.85,1.68,-111.85,15,4,3,177.9,3.928562621
Dan,Bailey,K,DAL,2495259,1/26/88,142.7044286,139.433407,147.18,5.274523287,4,3.806293918,2,141.7044286,31,146.275,1.85,-115.275,6,4.3,1.4,178.9,2.510696344
Trevor,Siemian,QB,DEN,2553457,12/26/91,151.8219078,122.3890667,181.9466667,36.17743144,26,5.268585278,13,138.8219078,32,175.14,1.05,-143.14,2,27.3,2.4,205.4,6.128135419
Julio,Jones,WR,ATL,2495454,2/3/89,171.8085786,157.1563762,188.0045773,13.34247284,1,6.416930415,1,138.8085786,33,5.585,20.28,27.415,6,2.5,1,5.4,4.048153348
Adam,Vinatieri,K,IND,2503471,12/28/72,139.0926968,135.3619017,143.0983865,3.892718373,5,0.928345741,3,138.0926968,34,161.385,0.7,-127.385,21,7.2,3.1,191.6,3.628531661
Brian,Hoyer,QB,SF,81294,10/31/85,150.9850688,137.6935,168.91332,14.5066189,27,14.27103063,13,137.9850688,35,193.38,1.49,-158.38,8,25.7,2.7,192.7,4.998108121
Mason,Crosby,K,GB,2507232,9/3/84,138.7035725,130.713647,149.0907554,7.772097948,6,1.210205997,3,137.7035725,36,152.41,1.06,-116.41,10,5.7,2.1,183.9,3.192859896
Wil,Lutz,K,NO,2556601,7/7/94,137.6251297,130.5388226,147.7656657,8.498323062,7,0.612191771,4,136.6251297,37,165.135,0.74,-128.135,1,,,,4.208318476
Landon,Collins,DB,NYG,2552454,1/10/94,139.45,133.41,145.49,10.6773124,1,14.1375,1,136.45,38,78.93,3.98,-40.93,2,,,,3.700578114
Graham,Gano,K,CAR,71309,4/9/87,137.3616032,130.1627347,146.5812365,9.282551704,8,0.904836753,4,136.3616032,39,175.13,0.7,-136.13,8,13.6,4.2,222.8,4.806507355
Sebastian,Janikowski,K,OAK,2504257,3/2/78,136.6642727,129.5541065,142.6105641,8.384103827,9,1.134481477,4,135.6642727,40,163.99,0.65,-123.99,17,10.6,2.7,213.8,3.666958198
Antonio,Brown,WR,PIT,2508061,7/10/88,168.3747729,148.374322,181.9448251,23.24521317,2,8.489426993,1,135.3747729,41,3.76,21.56,37.24,7,1.1,0.3,3.4,5.004565336
Matt,Prater,K,DET,2506677,8/10/84,136.2492601,133.0894511,141.355432,3.939590203,10,1.570189781,5,135.2492601,42,162.28,0.6,-120.28,11,9.8,3.5,204.6,3.918467723
LeSean,McCoy,RB,BUF,79607,7/12/88,163.0498267,151.6396,174.5461547,10.6344078,3,7.103755,3,135.0498267,43,7.025,15.12,35.975,8,3.6,1.1,6.3,3.480660724
Chris,Boswell,K,PIT,2550545,12/16/89,134.8103223,126.187094,147.234013,10.21007902,11,1.251329646,6,133.8103223,44,173.295,1.49,-129.295,3,13.4,3.8,225.5,4.587073298
Cairo,Santos,K,KC,2550636,11/21/91,134.5478184,129.0746703,140.0816829,5.385408085,12,2.024738315,6,133.5478184,45,171.115,0.59,-126.115,3,9.6,2.8,205.8,3.521625725
Alec,Ogletree,LB,LAR,2540143,9/25/91,140.525,140.145,140.905,0.671751442,1,2.85,1,133.525,46,99.62,3.45,-53.62,4,,,,2.905577028
Devonta,Freeman,RB,ATL,2543583,3/15/92,160.6261233,154.2949333,167.1396353,5.806290816,4,10.43510905,3,132.6261233,47,8.165,15.93,38.835,3,5.2,1.5,9.6,2.979078489
Caleb,Sturgis,K,PHI,2539637,8/9/89,132.570167,122.4176983,142.9315948,8.759318412,13,1.248038184,7,131.570167,48,179.49,0.63,-131.49,4,14.6,4.2,233.3,4.768649157
Dustin,Hopkins,K,WAS,2539227,10/1/90,132.4759931,125.6017853,138.7571856,7.284776879,14,2.701609818,7,131.4759931,49,174.935,0.61,-125.935,4,12,4,216.2,4.51868734
Luke,Kuechly,LB,CAR,2533056,4/20/91,137.85,137.73,137.97,0.212132034,2,0.6875,2,130.85,50,70.5,4.56,-20.5,5,,,,2.850727111
Deion,Jones,LB,ATL,2555162,11/4/94,137.5,134.62,140.38,5.091168825,3,1.1125,2,130.5,51,120.21,2.3,-69.21,1,,,,3.432980073
Kwon,Alexander,LB,TB,2552592,8/3/94,136.825,135.485,138.165,2.368807717,4,2.325,3,129.825,52,85.82,3.83,-33.82,2,,,,3.108099797
Odell,Beckham,WR,NYG,2543496,11/5/92,162.4085235,140.5038038,177.9321937,18.17583828,3,5.099991962,2,129.4085235,53,7.735,18.78,45.265,3,3.1,1,6.2,4.566006699
Brandon,McManus,K,DEN,2541556,7/25/91,130.1682646,127.5891583,133.3763458,3.16803426,15,1.486840844,8,129.1682646,54,168.17,0.63,-114.17,3,13.5,4.6,215.3,4.650640178
Mike,Glennon,QB,CHI,2539275,12/12/89,142.1215763,116.50221,173.462397,23.69397439,28,11.25199833,14,129.1215763,55,,1.44,,4,30.9,2.6,229.8,5.496665448
Bobby,Wagner,LB,SEA,2532966,6/27/90,135.95,135.51,136.39,0.777817459,5,4.8875,4,128.95,56,90.47,3.43,-34.47,5,,,,2.918234701
Blair,Walsh,K,SEA,2532968,1/8/90,129.380502,115.1321628,140.6194307,22.53175808,16,2.017883746,8,128.380502,57,171.125,0.63,-114.125,5,15,4.5,225,5.980053416
Reshad,Jones,DB,MIA,496739,2/25/88,131,128.6,133.4,4.242640687,2,12.725,2,128,58,108.21,3.01,-50.21,7,,,,3.046054097
Nick,Novak,K,HOU,2506194,8/21/81,127.9823455,120.326964,133.9631164,6.375912806,17,1.313777813,9,126.9823455,59,184.53,0.51,-125.53,2017,17.2,4.2,232.7,4.596199423
Telvin,Smith,LB,JAC,2543711,4/11/91,133.05,131.89,134.21,2.050609665,6,4.775,5,126.05,60,,2.67,,3,,,,3.070126778
Josh,Lambo,K,LAC,2553833,11/19/90,126.7428909,120.2965432,132.9873457,6.54575691,18,0.388558148,10,125.7428909,61,200.51,0.66,-139.51,2,16,3.8,234.4,4.321943699
Phil,Dawson,K,ARI,2500351,1/23/75,126.5942444,118.541403,131.6390977,10.47351401,19,3.360314964,10,125.5942444,62,189.45,1,-127.45,19,18.3,4.7,242.6,5.250859496
Ryan,Succop,K,TEN,89802,9/19/86,126.1144211,123.5244928,131.820959,3.650933858,20,8.070778581,10,125.1144211,63,187.69,0.57,-124.69,8,20.9,4.3,238.3,4.470671547
Mike,Evans,WR,TB,2543468,8/21/93,157.3621684,144.1314767,170.4541566,16.74192468,4,5.961988976,2,124.3621684,64,9.03,17.66,54.97,3,4.6,1.2,9,4.442255557
Jordy,Nelson,WR,GB,1032,5/31/85,157.2548947,142.788912,171.3877256,12.97283356,5,12.65845465,2,124.2548947,65,12.525,14.29,52.475,9,5.6,1.3,11.2,4.05337016
Jordan,Howard,RB,CHI,2555418,11/2/94,151.26602,145.9568,155.9134773,4.886164443,5,3.226822381,4,123.26602,66,16.145,14.3,49.855,1,7.1,1.7,13.3,2.911510499
Ryan,Shazier,LB,PIT,2543486,9/6/92,129.075,126.615,131.535,4.348706704,7,1.6875,6,122.075,67,123.21,2.48,-56.21,3,,,,3.344376361
Melvin,Gordon,RB,LAC,2552469,4/13/93,149.1160086,146.361504,151.2256,2.56009792,6,3.199073571,5,121.1160086,68,9.55,16.17,58.45,2,4.5,1.2,8.3,2.513028343
Zach,Brown,LB,WAS,2532804,10/23/89,127.475,125.895,129.055,2.793071786,8,0.7375,7,120.475,69,,2.08,,5,,,,3.15873049
Sean,Lee,LB,DAL,496937,7/22/86,127.3,126.34,128.26,1.697056275,9,1.8375,7,120.3,70,121.4,2.47,-51.4,7,,,,3.027934534
Steven,Hauschka,K,BUF,2507374,6/29/85,120.3534378,111.557333,128.2905961,8.258354822,21,6.307764386,11,119.3534378,71,178.21,0.72,-107.21,2017,14.2,6.4,204.1,6.308398017
C.J.,Mosley,LB,BAL,2543464,6/19/92,126.175,123.915,128.435,3.995153314,10,1.925,8,119.175,72,119.6,2.57,-47.6,3,,,,3.302184118
Rob,Gronkowski,TE,NE,497240,5/14/89,129.0485276,104.66,142.4975797,18.31899471,1,20.27391977,1,119.0485276,73,20.405,12.11,52.595,7,1.3,1.3,24.7,5.687720234
DeMarco,Murray,RB,TEN,2495207,2/12/88,146.9623867,138.453136,160.9372,12.14044595,7,4.786924821,5,118.9623867,74,15.63,11.61,58.37,6,7.7,1.8,14.2,3.823851398
DeShone,Kizer,QB,CLE,2557983,1/3/96,131.3065,50.6555,148.99025,56.97507683,29,4.294724464,15,118.3065,75,169.885,2.24,-94.885,0,28.7,3,218.4,7.848928263
Benardrick,McKinney,LB,HOU,2552490,11/19/92,124.75,114.55,134.95,18.03122292,11,1.35,8,117.75,76,,1.87,,2,,,,4.977216188
Jared,Goff,QB,LAR,2555334,10/14/94,130.4326558,82.753484,159.5178333,32.63839809,30,18.88528155,16,117.4326558,77,174.9,1.78,-97.9,1,27.5,2.1,211.6,5.693496488
Jay,Ajayi,RB,MIA,2552582,6/15/93,144.8714833,133.7481333,157.9299733,12.73399868,8,6.209268155,6,116.8714833,78,13.915,13.24,64.085,2,6.4,1.9,12.2,3.919288004
Eric,Kendricks,LB,MIN,2552312,2/29/92,123.75,122.75,124.75,1.767766953,12,1.4625,9,116.75,79,,1.73,,2,,,,3.036372983
Keanu,Neal,DB,ATL,2555543,7/26/95,119.625,119.325,119.925,0.530330086,3,3.3125,3,116.625,80,111.86,2.43,-31.86,1,,,,2.668444088
Lavonte,David,LB,TB,2532828,1/23/90,123.05,117.41,128.69,9.970205615,13,1.7875,9,116.05,81,,2.95,,5,,,,4.015233035
Kai,Forbath,K,MIN,2495150,9/2/87,115.7338473,94.23223684,132.1552357,25.03159583,22,4.924295896,12,114.7338473,82,194.22,1.74,-112.22,6,23.2,4.4,251.3,6.08929135
Mark,Barron,LB,LAR,2532789,10/27/89,121.525,121.105,121.945,0.74246212,14,0.9625,10,114.525,83,,2.1,,5,,,,2.914015477
Jatavis,Brown,LB,LAC,2556148,2/18/94,121,118.2,123.8,4.949747468,15,1.175,10,114,84,,2.52,,1,,,,3.416103175
Harrison,Smith,DB,MIN,2532948,2/2/89,116.925,115.265,118.585,2.934493142,4,5.6,4,113.925,85,152.36,2.15,-67.36,5,,,,2.912991523
Vontaze,Burfict,LB,CIN,2533058,9/24/90,120.125,116.425,123.825,6.540737726,16,0.725,11,113.125,86,134.79,2.31,-48.79,5,,,,3.605968272
Johnathan,Cyprien,DB,TEN,2539223,7/29/90,115.7,115.7,115.7,,5,10.125,4,112.7,87,,1.94,,4,,,,
A.J.,Green,WR,CIN,2495450,7/31/88,145.5454641,127.20872,164.5191204,17.17741101,6,3.460841466,3,112.5454641,88,11.91,17.03,76.09,6,4.7,1.5,9.2,4.533734621
Jamie,Collins,LB,CLE,2539311,5/2/90,119.525,115.905,123.145,6.39931637,17,0.425,11,112.525,89,135.53,2.53,-46.53,4,,,,3.589091374
Christian,Kirksey,LB,CLE,2543720,8/31/92,119.275,113.095,125.455,10.92479977,18,1.2625,11,112.275,90,,1.98,,3,,,,4.129152092
Preston,Brown,LB,BUF,2543814,10/27/92,118.925,108.065,129.785,19.19794911,19,1.9,11,111.925,91,,1.45,,3,,,,5.116450592
Todd,Gurley,RB,LAR,2552475,8/3/94,139.4794404,130.667286,153.67196,10.11872635,9,3.759390357,7,111.4794404,92,18.775,13.98,73.225,2,9.7,2.4,18.5,3.71174024
Robbie,Gould,K,SF,2506264,12/6/82,112.3574996,106.1441399,121.1949729,8.83831101,23,3.220283362,13,111.3574996,93,192.39,0.7,-99.39,12,28,2.8,262.7,3.771458229
Michael,Thomas,WR,NO,2556370,3/3/93,143.6474161,131.75552,158.3556945,20.04630021,7,6.941918229,3,110.6474161,94,17.93,15.99,76.07,1,7.2,1.2,14.4,4.796290847
Deshaun,Watson,QB,HOU,2558063,9/14/95,123.5908952,41.1698,176.4039,58.33528019,31,26.61995045,17,110.5908952,95,161.56,3.87,-66.56,0,30.4,3.4,213.8,8.219998769
Derrick,Johnson,LB,KC,2506353,11/22/82,117.1,113.98,120.22,5.515432893,20,0.375,12,110.1,96,,1.25,,12,,,,3.483610765
Reuben,Foster,LB,SF,2557837,4/4/94,116.95,108.11,125.79,15.62705986,21,0.775,12,109.95,97,,2.21,,0,,,,4.690308932
Ezekiel,Elliott,RB,DAL,2555224,7/22/95,137.84499,120.47296,167.548328,24.30650603,10,5.242930357,7,109.84499,98,16.715,17.36,81.285,1,12.6,4.8,25.4,5.995168414
Lawrence,Timmons,LB,MIA,2495762,5/14/86,116.5,115.7,117.3,1.414213562,22,1.45,12,109.5,99,,1.41,,10,,,,2.99418074
Khalil,Mack,LB,OAK,2543463,2/22/91,115.85,115.17,116.53,1.202081528,23,1.9125,13,108.85,100,79.81,4.33,20.19,3,,,,2.968865393
Connor,Barth,K,CHI,2507463,4/11/86,109.2616033,99.83347268,119.7806457,9.449843105,24,0.511439893,14,108.2616033,101,,3.62,,9,,,,4.346011681
Greg,Zuerlein,K,LAR,2534797,12/27/87,109.0128291,102.7031183,114.8500104,6.223624381,25,1.158683461,14,108.0128291,102,202.56,0.43,-100.56,5,28.6,3.7,291.7,4.226999843
Dez,Bryant,WR,DAL,497278,11/4/88,140.5218291,122.9829457,168.0357919,19.19827308,8,7.634733447,3,107.5218291,103,19.815,13.2,83.185,7,8.9,1.9,18.3,4.810013157
Andrew,Franks,K,MIA,2553648,1/11/93,108.4874977,98.12460913,120.9434203,9.052177816,26,2.220123875,14,107.4874977,104,,2.33,,2,26.1,3.5,295.5,4.288385612
Kiko,Alonso,LB,MIA,2539935,8/14/90,114.25,112.05,116.45,3.889087297,24,2.1375,14,107.25,105,,1.77,,4,,,,3.289526445
Von,Miller,LB,DEN,2495202,3/26/89,113.625,113.325,113.925,0.530330086,25,4.6625,14,106.625,106,106.75,2.73,-0.75,6,,,,2.888700131
Nick,Folk,K,TB,2507225,11/5/84,107.2207937,66.54,125.7066667,45.35202626,27,9.422136024,15,106.2207937,107,199.85,1.57,-92.85,10,22,4.7,243.4,7.774471143
Lamar,Miller,RB,HOU,2533034,4/25/91,133.59511,120.0698667,143.3456,17.11442188,11,4.37209125,8,105.59511,108,30.405,9.78,77.595,5,13.8,3.5,28.5,4.818770897
Chandler,Catanzaro,K,NYJ,2550325,2/26/91,105.3139539,97.36148649,112.7981081,6.712143288,28,16.91000896,15,104.3139539,109,186.43,2.71,-77.43,3,22.3,7.5,207.8,6.98452078
Ha Ha,Clinton-Dix,DB,GB,2543470,12/21/92,106.95,106.95,106.95,,6,3.3875,5,103.95,110,,1.7,,3,,,,
Leonard,Fournette,RB,JAC,2557973,1/18/95,131.6090093,115.1331023,150.76782,16.23074068,12,8.362711845,8,103.6090093,111,22.875,14.12,88.125,0,12,3.2,23.7,4.64247072
NaVorro,Bowman,LB,SF,2508088,5/28/88,110.6,106.68,114.52,6.929646456,26,3.275,15,103.6,112,,2.29,,7,,,,3.65237974
Greg,Olsen,TE,CAR,2495700,3/11/85,112.0922532,99.35310722,123.3590857,10.86536902,2,7.253376007,2,102.0922532,113,53.68,6.29,59.32,10,3.6,1.1,52.9,4.164573453
Eric,Berry,DB,KC,496723,12/29/88,104.2,103.96,104.44,0.424264069,7,1.3125,5,101.2,114,,1.7,,7,,,,2.65765523
Jordan,Hicks,LB,PHI,2552315,6/27/92,107.325,105.065,109.585,3.995153314,28,1.2875,16,100.325,116,,1.47,,2,,,,3.302184118
Avery,Williamson,LB,TEN,2543597,3/9/92,107.325,104.265,110.385,5.409366876,27,0.3125,16,100.325,115,,1.09,,3,,,,3.470953092
Barry,Church,DB,JAC,494259,2/11/88,102.925,99.385,106.465,6.257895014,8,0.325,6,99.925,117,,1.43,,7,,,,3.251042388
Amari,Cooper,WR,OAK,2552487,6/18/94,132.8891667,117.5461877,156.5622844,18.76779641,9,0.73911152,4,99.88916666,118,20.985,15.75,97.015,2,10.8,2.6,22.1,4.868472389
Brandin,Cooks,WR,NE,2543498,9/25/93,132.8850246,122.9046447,146.716715,11.00264972,10,2.446072346,4,99.88502464,119,23.6,12.78,95.4,3,11,3.8,22.5,4.215785872
Morgan,Burnett,DB,GB,496727,1/13/89,102.85,101.53,104.17,2.333452378,9,0.55,6,99.85,120,,1.72,,7,,,,2.851854664
Jerrell,Freeman,LB,CHI,2514414,5/1/86,106.7,101.26,112.14,9.616652224,29,1.6625,16,99.7,121,,2.02,,6,,,,3.973040791
Tyrann,Mathieu,DB,ARI,2540180,5/13/92,102.35,96.47,108.23,10.39446968,10,1.2875,6,99.35,122,,1.65,,4,,,,3.671807828
Karl,Joseph,DB,OAK,2555342,9/8/93,102.25,101.25,103.25,1.767766953,11,2.5625,7,99.25,123,,1.27,,1,,,,2.794314091
Marshawn,Lynch,RB,OAK,2495663,4/22/86,126.8370282,116.4704,140.89464,10.56370636,13,9.200574452,9,98.83702821,124,27.98,8.11,96.02,10,16.3,4.3,35.7,4.196482369
T.Y.,Hilton,WR,IND,2532865,11/14/89,131.4150856,110.2336881,140.3254771,12.82594681,11,4.031189704,4,98.41508563,125,28.575,12.95,96.425,5,11.2,2.8,23.3,4.261734848
Brandon,Marshall,LB,DEN,2532898,9/10/89,105.375,100.075,110.675,9.369164851,30,0.8375,16,98.375,126,,1.12,,5,,,,3.94350622
Jarrad,Davis,LB,DET,2557855,11/16/95,104.7,93.66,115.74,19.51614716,31,0.4625,16,97.7,127,,2.39,,0,,,,5.154423612
Karlos,Dansby,LB,ARI,2506112,11/3/81,104.375,104.275,104.475,0.176776695,32,0.65,17,97.375,128,,0.89,,13,,,,2.846507887
K.J.,Wright,LB,SEA,2495252,7/23/89,104.1,100.42,107.78,6.505382387,33,2.8625,17,97.1,129,,1.67,,6,,,,3.601749047
Kenny,Vaccaro,DB,NO,2539320,2/15/91,99.875,95.775,103.975,7.247844507,12,0.625,8,96.875,130,,1.48,,4,,,,3.351738391
Byron,Jones,DB,DAL,2552568,8/26/92,99.5,94.7,104.3,8.485281374,13,1.025,8,96.5,131,,1.04,,2,,,,3.477608394
Doug,Baldwin,WR,SEA,2530747,9/21/88,129.462819,118.3739333,147.3534809,28.39976362,12,5.577169372,4,96.46281896,132,27.2,10.03,104.8,6,10.9,2.8,22.4,5.930334776
Paul,Posluszny,LB,JAC,2495712,10/10/84,103.35,90.43,116.27,22.83954903,34,5.0375,17,96.35,133,,1.65,,10,,,,5.551030701
Kurt,Coleman,DB,CAR,494261,7/1/88,99,98.2,99.8,1.414213562,14,1.2125,9,96,134,,1.22,,7,,,,2.758351233
Travis,Kelce,TE,KC,2540258,10/5/89,105.4569625,94.08413333,117.2620673,18.03510528,3,3.820260184,3,95.45696249,135,39.975,9.41,95.025,4,2.1,0.6,38.5,5.380878756
Kam,Chancellor,DB,SEA,494257,4/3/88,97.95,97.91,97.99,0.070710678,15,0.725,10,94.95,136,,1.36,,7,,,,2.621692372
Tony,Jefferson,DB,BAL,2540164,1/27/92,97.625,95.325,99.925,4.065863992,16,1.1,10,94.625,137,,1.53,,4,,,,3.028072668
Jimmy,Graham,TE,SEA,497236,11/24/86,104.2207919,91.60952,116.8411241,16.44889304,4,5.802495846,3,94.22079193,138,61.215,5.04,76.785,7,4.9,1.3,63.3,5.32359895
Marcus,Peters,DB,KC,2552488,1/9/93,96.825,92.165,101.485,8.237794001,17,0.65,11,93.825,139,,1.37,,2,,,,3.452434394
Sean,Davis,DB,PIT,2555386,10/23/93,96.225,95.605,96.845,1.096015511,18,0.25,11,93.225,140,,0.98,,1,,,,2.725984661
Jamal,Adams,DB,NYJ,2557979,10/17/95,96.125,87.825,104.425,14.67246571,19,0.525,11,93.125,141,,2.21,,0,,,,4.106958411
Rodney,McLeod,DB,PHI,2534832,6/23/90,95.825,92.885,98.765,5.197234842,20,0.7,12,92.825,142,,0.78,,5,,,,3.143153814
Malcolm,Jenkins,DB,PHI,79848,12/20/87,95.375,88.875,101.875,11.49048519,21,1.75,12,92.375,143,,1.21,,8,,,,3.783292688
Demaryius,Thomas,WR,DEN,497328,12/25/87,125.3049729,112.9241967,146.7974,13.71998672,13,3.524428932,5,92.30497289,144,37.895,9.03,106.105,7,14.8,3.1,31.4,4.402343967
David,Harris,LB,NE,2495621,1/21/84,99.125,95.025,103.225,7.247844507,35,1.7375,18,92.125,145,,0.69,,10,,,,3.690352759
Eric,Weddle,DB,BAL,2495775,1/4/85,94.875,88.975,100.775,10.42982502,22,2.5625,12,91.875,146,,1.07,,10,,,,3.675404114
Isaiah,Crowell,RB,CLE,2550189,1/8/93,119.6555667,110.8968,129.5776,9.287466893,14,6.126227131,10,91.65556667,147,31.545,7.36,115.455,3,12.9,2.8,26.3,3.700352124
Thomas,Davis,LB,CAR,2506352,3/22/83,97.5,97.5,97.5,0,36,0.5375,19,90.5,148,,1.49,,12,,,,2.825411765
Deone,Bucannon,LB,ARI,2543769,8/30/92,97.275,96.655,97.895,1.096015511,37,0.925,19,90.275,149,,1.26,,3,,,,2.95620772
Vic,Beasley,LB,ATL,2552301,7/8/92,96.65,93.73,99.57,5.161879503,38,1.525,19,89.65,150,,1.77,,2,,,,3.441418522
Michael,Crabtree,WR,OAK,71269,9/14/87,122.4663263,109.792708,132.0692472,10.51694511,14,1.628731134,5,89.46632628,151,50.005,6.3,100.995,8,19.7,3.3,43.1,4.089046041
Reggie,Nelson,DB,OAK,2507167,9/21/83,92.375,91.075,93.675,2.298097039,23,0.3125,13,89.375,152,,0.61,,10,,,,2.848258378
Randy,Bullock,K,CIN,2533444,12/16/89,90.28336134,23.62941176,121.6305882,49.65288677,29,5.322800891,16,89.28336134,153,,2.37,,5,,,,10.16374086
E.J.,Gaines,DB,BUF,2543823,2/23/92,92.25,92.25,92.25,,24,0.3875,14,89.25,154,,0.41,,3,,,,
